timeframe,cluster2017,TotPop,TotPop_m,cluster2017_nf,start_date,end_date,PctPopUnder18Years,PctPop65andOverYears,PctForeignBorn,PctBlackNonHispBridge,PctWhiteNonHispBridge,PctHisp,PctAsianPINonHispBridge,PctFamiliesOwnChildrenFH,PctPopUnder18Years_m,PctPop65andOverYears_m,PctForeignBorn_m,PctBlackNonHispBridge_m,PctWhiteNonHispBridge_m,PctHisp_m,PctAPINonHispBridge_m,PctFamiliesOwnChildFH_m,PctChgTotPop,PctChgPopUnder18Years,PctChgPop65andOverYear,indc
2012-16,"Kalorama Heights, Adams Morgan, Lanier Heights",19593,769,Cluster 1,1-Jan-12,31-Dec-16,7.9,9.9,20,8.7,71,12,5.9,7.3,1.2,1.3,2.4,1.7,2.8,1.8,1.4,7.2,X,X,X,1
2012-16,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",51220,1649,Cluster 2,1-Jan-12,31-Dec-16,15,7.5,24,32,36,25,4.5,46,1.3,0.8,1.8,1.8,1.4,2.4,0.8,5.6,X,X,X,1
2012-16,"Howard University, Le Droit Park, Cardozo/Shaw",14043,705,Cluster 3,1-Jan-12,31-Dec-16,8.4,6.6,15,40,45,7.5,3.9,30,1.7,1.4,2.4,3.8,3,2.3,1.2,13,X,X,X,1
2012-16,"Georgetown, Burleith/Hillandale",14991,855,Cluster 4,1-Jan-12,31-Dec-16,9.7,10,18,5.5,76,8.3,7.6,14,1.9,1.4,2.8,2.6,2.2,1.9,1.6,11,X,X,X,1
2012-16,"West End, Foggy Bottom, GWU",16779,895,Cluster 5,1-Jan-12,31-Dec-16,2.5,9.6,24,8.4,66,9.8,11,23,1.2,1.9,3.1,2.1,3.3,1.8,1.7,37,X,X,X,1
2012-16,"Dupont Circle, Connecticut Avenue/K Street",20130,870,Cluster 6,1-Jan-12,31-Dec-16,4.9,8,19,6.9,73,9.4,7,23,1.3,1.3,2.5,1.4,2.1,1.8,1.3,18,X,X,X,1
2012-16,"Shaw, Logan Circle",20697,957,Cluster 7,1-Jan-12,31-Dec-16,8.9,6.4,20,24,48,16,7.6,28,1.6,1.1,3,2.6,2,3.7,1.6,9.1,X,X,X,1
2012-16,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",19188,900,Cluster 8,1-Jan-12,31-Dec-16,11,8.3,18,34,42,11,11,61,2.3,1.2,2.2,3.5,1.8,2.8,1.6,12,X,X,X,1
2012-16,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",12195,653,Cluster 9,1-Jan-12,31-Dec-16,10,16,11,43,43,5.5,5,54,1.9,2.3,3,3.8,3.2,1.8,2,9.8,X,X,X,1
2012-16,"Hawthorne, Barnaby Woods, Chevy Chase",15330,631,Cluster 10,1-Jan-12,31-Dec-16,25,20,13,9.9,74,7.6,4.4,9.3,2.3,2,2.7,2.6,2.1,2.5,1.2,4.2,X,X,X,1
