timeframe,cluster2017,NumOccupiedHsgUnits,NumOccupiedHsgUnits_m,cluster2017_nf,start_date,end_date,PctSameHouse5YearsAgo,PctVacantHsgUnitsForRent,PctOwnerOccupiedHsgUnits,PctVacantHUForRent_m,PctOwnerOccupiedHU_m,mprice_sf,sales_sf,MedianMrtgInc1_4m_adj,NumMrtgOrigHomePurchPerUnit,PctSubprimeConvOrigHomePur,forecl_ssl_1Kpcl_sf_condo,forecl_ssl_sf_condo,trustee_ssl_1Kpcl_sf_condo,trustee_ssl_sf_condo,PctAnnChgRMPriceSf_1yr,PctAnnChgRMPriceSf_5yr,PctAnnChgRMPriceSf_10yr,indc
2012-16,"Kalorama Heights, Adams Morgan, Lanier Heights",10819,312,Cluster 1,1-Jan-12,31-Dec-16,.,4.6,36,2.2,2.8,X,X,X,X,X,X,X,X,X,X,X,X,1
2012-16,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",20155,377,Cluster 2,1-Jan-12,31-Dec-16,.,4,32,1.4,1.9,X,X,X,X,X,X,X,X,X,X,X,X,1
2012-16,"Howard University, Le Droit Park, Cardozo/Shaw",5385,174,Cluster 3,1-Jan-12,31-Dec-16,.,2.7,46,2.3,3.7,X,X,X,X,X,X,X,X,X,X,X,X,1
2012-16,"Georgetown, Burleith/Hillandale",4775,242,Cluster 4,1-Jan-12,31-Dec-16,.,6.4,56,5.1,4.1,X,X,X,X,X,X,X,X,X,X,X,X,1
2012-16,"West End, Foggy Bottom, GWU",6594,361,Cluster 5,1-Jan-12,31-Dec-16,.,8.2,31,3.8,4.4,X,X,X,X,X,X,X,X,X,X,X,X,1
2012-16,"Dupont Circle, Connecticut Avenue/K Street",12617,362,Cluster 6,1-Jan-12,31-Dec-16,.,4.1,33,2.1,2.7,X,X,X,X,X,X,X,X,X,X,X,X,1
2012-16,"Shaw, Logan Circle",10916,319,Cluster 7,1-Jan-12,31-Dec-16,.,6.4,29,2.9,2.7,X,X,X,X,X,X,X,X,X,X,X,X,1
2012-16,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",10465,287,Cluster 8,1-Jan-12,31-Dec-16,.,6,21,2,2,X,X,X,X,X,X,X,X,X,X,X,X,1
2012-16,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",7125,264,Cluster 9,1-Jan-12,31-Dec-16,.,4.2,40,2.7,3.4,X,X,X,X,X,X,X,X,X,X,X,X,1
2012-16,"Hawthorne, Barnaby Woods, Chevy Chase",6075,178,Cluster 10,1-Jan-12,31-Dec-16,.,3.5,68,3.4,2.6,X,X,X,X,X,X,X,X,X,X,X,X,1
2012-16,"Friendship Heights, American University Park, Tenleytown",4948,149,Cluster 11,1-Jan-12,31-Dec-16,.,1.3,70,3.4,3.2,X,X,X,X,X,X,X,X,X,X,X,X,1
2012-16,"North Cleveland Park, Forest Hills, Van Ness",5730,312,Cluster 12,1-Jan-12,31-Dec-16,.,7,39,5.1,3.3,X,X,X,X,X,X,X,X,X,X,X,X,1
2012-16,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",5191,153,Cluster 13,1-Jan-12,31-Dec-16,.,7.7,78,6.6,3,X,X,X,X,X,X,X,X,X,X,X,X,1
2012-16,"Cathedral Heights, McLean Gardens, Glover Park",10899,303,Cluster 14,1-Jan-12,31-Dec-16,.,4.9,48,2.9,2.7,X,X,X,X,X,X,X,X,X,X,X,X,1
