timeframe,cluster2017,cluster2017_nf,start_date,end_date,PctPoorPersons,PctPoorChildren,PctPoorElderly,AvgFamilyIncAdj,PctPoorPersons_m,PctPoorChildren_m,PctPoorElderly_m,AvgFamilyIncAdj_m,PctChgAvgFamilyIncAdj,Tanf_client,Fs_client
2012-16,"Kalorama Heights, Adams Morgan, Lanier Heights",Cluster 1,1-Jan-12,31-Dec-16,7,0.4,5.2,220513,1.5,6.9,4.2,35811,X,X,X
2012-16,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",Cluster 2,1-Jan-12,31-Dec-16,16,28,21,102643,2.1,5.1,5.1,10500,X,X,X
2012-16,"Howard University, Le Droit Park, Cardozo/Shaw",Cluster 3,1-Jan-12,31-Dec-16,15,30,30,172941,4,13,10,35567,X,X,X
2012-16,"Georgetown, Burleith/Hillandale",Cluster 4,1-Jan-12,31-Dec-16,13,1.4,3.8,333027,4.5,6.5,4.3,70119,X,X,X
2012-16,"West End, Foggy Bottom, GWU",Cluster 5,1-Jan-12,31-Dec-16,26,13,17,213700,4.7,38,12,72106,X,X,X
2012-16,"Dupont Circle, Connecticut Avenue/K Street",Cluster 6,1-Jan-12,31-Dec-16,11,9.2,8.2,184771,2,14,6.6,39395,X,X,X
2012-16,"Shaw, Logan Circle",Cluster 7,1-Jan-12,31-Dec-16,13,17,32,137318,2.3,8,8.9,24685,X,X,X
2012-16,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",Cluster 8,1-Jan-12,31-Dec-16,18,20,24,135428,3.9,11,9,24353,X,X,X
2012-16,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",Cluster 9,1-Jan-12,31-Dec-16,17,40,11,119936,3.1,8.5,5.6,25159,X,X,X
2012-16,"Hawthorne, Barnaby Woods, Chevy Chase",Cluster 10,1-Jan-12,31-Dec-16,5.5,1.5,5.9,294085,1.8,2.7,3.3,30844,X,X,X
2012-16,"Friendship Heights, American University Park, Tenleytown",Cluster 11,1-Jan-12,31-Dec-16,4.8,0,4,234654,1.7,2.7,3.2,28827,X,X,X
2012-16,"North Cleveland Park, Forest Hills, Van Ness",Cluster 12,1-Jan-12,31-Dec-16,6.4,3.4,3.4,254459,2.4,6.3,4.9,52375,X,X,X
2012-16,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",Cluster 13,1-Jan-12,31-Dec-16,11,3.3,0.9,376031,3.2,3.4,2,52887,X,X,X
2012-16,"Cathedral Heights, McLean Gardens, Glover Park",Cluster 14,1-Jan-12,31-Dec-16,16,3.5,5.7,234275,3.5,5,3.3,40736,X,X,X
2012-16,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",Cluster 15,1-Jan-12,31-Dec-16,6.8,6.7,3.1,295099,2.1,6.4,3.6,44045,X,X,X
2012-16,"Colonial Village, Shepherd Park, North Portal Estates",Cluster 16,1-Jan-12,31-Dec-16,4.1,1,7.2,228654,2.2,4.5,4.4,34946,X,X,X
2012-16,"Takoma, Brightwood, Manor Park",Cluster 17,1-Jan-12,31-Dec-16,15,23,13,96414,3,5.4,3.9,11638,X,X,X
2012-16,"Brightwood Park, Crestwood, Petworth",Cluster 18,1-Jan-12,31-Dec-16,11,12,15,124824,1.9,3.5,3.4,11770,X,X,X
2012-16,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",Cluster 19,1-Jan-12,31-Dec-16,14,13,13,96598,3.1,5.2,5.4,17024,X,X,X
2012-16,"North Michigan Park, Michigan Park, University Heights",Cluster 20,1-Jan-12,31-Dec-16,8.3,4.5,11,105910,2.3,4.3,4.6,14940,X,X,X
2012-16,"Edgewood, Bloomingdale, Truxton Circle, Eckington",Cluster 21,1-Jan-12,31-Dec-16,17,23,16,117829,2.2,5.8,4.3,13678,X,X,X
2012-16,"Brookland, Brentwood, Langdon",Cluster 22,1-Jan-12,31-Dec-16,18,21,18,102176,3.9,6.6,8.6,14020,X,X,X
2012-16,"Ivy City, Arboretum, Trinidad, Carver Langston",Cluster 23,1-Jan-12,31-Dec-16,27,32,17,62668,4.1,7.1,5.3,10648,X,X,X
2012-16,"Woodridge, Fort Lincoln, Gateway",Cluster 24,1-Jan-12,31-Dec-16,16,3.3,26,104698,4,5.2,6.9,18302,X,X,X
2012-16,"Union Station, Stanton Park, Kingman Park",Cluster 25,1-Jan-12,31-Dec-16,11,11,17,158065,1.7,4.6,5.4,14566,X,X,X
2012-16,"Capitol Hill, Lincoln Park",Cluster 26,1-Jan-12,31-Dec-16,11,12,8.4,205099,2.3,5.8,3.6,17997,X,X,X
2012-16,"Near Southeast, Navy Yard",Cluster 27,1-Jan-12,31-Dec-16,12,18,32,128257,4.2,20,14,36362,X,X,X
2012-16,Historic Anacostia,Cluster 28,1-Jan-12,31-Dec-16,44,59,29,52680,7.7,8.7,14,15480,X,X,X
2012-16,"Eastland Gardens, Kenilworth",Cluster 29,1-Jan-12,31-Dec-16,43,66,16,47764,12,14,9.7,11275,X,X,X
2012-16,"Mayfair, Hillbrook, Mahaning Heights",Cluster 30,1-Jan-12,31-Dec-16,34,50,18,46142,7.3,14,7.7,10779,X,X,X
2012-16,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",Cluster 31,1-Jan-12,31-Dec-16,26,39,19,61181,5.2,7.6,6.2,10518,X,X,X
2012-16,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,1-Jan-12,31-Dec-16,27,31,20,54001,6,9,7.2,10931,X,X,X
2012-16,"Capitol View, Marshall Heights, Benning Heights",Cluster 33,1-Jan-12,31-Dec-16,31,46,16,56384,4.8,6.4,5.1,7770,X,X,X
2012-16,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",Cluster 34,1-Jan-12,31-Dec-16,22,30,21,76483,3.2,7,5.3,10028,X,X,X
2012-16,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",Cluster 35,1-Jan-12,31-Dec-16,27,50,20,75649,10,14,15,24020,X,X,X
2012-16,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",Cluster 36,1-Jan-12,31-Dec-16,51,69,44,37008,6.7,6.8,15,8417,X,X,X
2012-16,"Sheridan, Barry Farm, Buena Vista",Cluster 37,1-Jan-12,31-Dec-16,43,52,24,52658,5.6,6.5,12,23001,X,X,X
2012-16,"Douglas, Shipley Terrace",Cluster 38,1-Jan-12,31-Dec-16,36,50,24,45987,7.2,7.1,9.8,8821,X,X,X
2012-16,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,1-Jan-12,31-Dec-16,38,50,25,49039,3.8,4.2,5.2,6505,X,X,X
2012-16,Walter Reed,Cluster 40,1-Jan-12,31-Dec-16,21,34,8.5,83749,27,58,28,72120,X,X,X
