start_date,end_date,cluster2017,timeframe,cluster2017_nf,Crimes_pt1_property_per1000,Crimes_pt1_violent_per1000,indc
1-Jan-00,31-Dec-00,"Kalorama Heights, Adams Morgan, Lanier Heights",2000,Cluster 1,52,8.7,1
1-Jan-01,31-Dec-01,"Kalorama Heights, Adams Morgan, Lanier Heights",2001,Cluster 1,59,12,1
1-Jan-02,31-Dec-02,"Kalorama Heights, Adams Morgan, Lanier Heights",2002,Cluster 1,57,14,1
1-Jan-03,31-Dec-03,"Kalorama Heights, Adams Morgan, Lanier Heights",2003,Cluster 1,61,12,1
1-Jan-04,31-Dec-04,"Kalorama Heights, Adams Morgan, Lanier Heights",2004,Cluster 1,42,13,1
1-Jan-05,31-Dec-05,"Kalorama Heights, Adams Morgan, Lanier Heights",2005,Cluster 1,43,12,1
1-Jan-06,31-Dec-06,"Kalorama Heights, Adams Morgan, Lanier Heights",2006,Cluster 1,49,11,1
1-Jan-07,31-Dec-07,"Kalorama Heights, Adams Morgan, Lanier Heights",2007,Cluster 1,47,12,1
1-Jan-08,31-Dec-08,"Kalorama Heights, Adams Morgan, Lanier Heights",2008,Cluster 1,41,11,1
1-Jan-09,31-Dec-09,"Kalorama Heights, Adams Morgan, Lanier Heights",2009,Cluster 1,39,9.7,1
1-Jan-10,31-Dec-10,"Kalorama Heights, Adams Morgan, Lanier Heights",2010,Cluster 1,36,8.9,1
1-Jan-11,31-Dec-11,"Kalorama Heights, Adams Morgan, Lanier Heights",2011,Cluster 1,41,9.3,1
1-Jan-12,31-Dec-12,"Kalorama Heights, Adams Morgan, Lanier Heights",2012,Cluster 1,45,9.2,1
1-Jan-13,31-Dec-13,"Kalorama Heights, Adams Morgan, Lanier Heights",2013,Cluster 1,44,8,1
1-Jan-14,31-Dec-14,"Kalorama Heights, Adams Morgan, Lanier Heights",2014,Cluster 1,48,4.6,1
1-Jan-15,31-Dec-15,"Kalorama Heights, Adams Morgan, Lanier Heights",2015,Cluster 1,42,6.3,1
1-Jan-16,31-Dec-16,"Kalorama Heights, Adams Morgan, Lanier Heights",2016,Cluster 1,41,4.8,1
1-Jan-00,31-Dec-00,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",2000,Cluster 2,41,16,1
1-Jan-01,31-Dec-01,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",2001,Cluster 2,44,15,1
1-Jan-02,31-Dec-02,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",2002,Cluster 2,49,18,1
1-Jan-03,31-Dec-03,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",2003,Cluster 2,46,21,1
1-Jan-04,31-Dec-04,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",2004,Cluster 2,40,16,1
1-Jan-05,31-Dec-05,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",2005,Cluster 2,35,17,1
1-Jan-06,31-Dec-06,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",2006,Cluster 2,44,17,1
1-Jan-07,31-Dec-07,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",2007,Cluster 2,43,17,1
1-Jan-08,31-Dec-08,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",2008,Cluster 2,44,17,1
1-Jan-09,31-Dec-09,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",2009,Cluster 2,45,15,1
1-Jan-10,31-Dec-10,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",2010,Cluster 2,42,13,1
1-Jan-11,31-Dec-11,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",2011,Cluster 2,47,13,1
1-Jan-12,31-Dec-12,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",2012,Cluster 2,49,11,1
1-Jan-13,31-Dec-13,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",2013,Cluster 2,57,12,1
1-Jan-14,31-Dec-14,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",2014,Cluster 2,60,8.9,1
1-Jan-15,31-Dec-15,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",2015,Cluster 2,58,9.9,1
1-Jan-16,31-Dec-16,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",2016,Cluster 2,52,8.2,1
1-Jan-00,31-Dec-00,"Howard University, Le Droit Park, Cardozo/Shaw",2000,Cluster 3,126,29,1
1-Jan-01,31-Dec-01,"Howard University, Le Droit Park, Cardozo/Shaw",2001,Cluster 3,110,31,1
1-Jan-02,31-Dec-02,"Howard University, Le Droit Park, Cardozo/Shaw",2002,Cluster 3,111,27,1
1-Jan-03,31-Dec-03,"Howard University, Le Droit Park, Cardozo/Shaw",2003,Cluster 3,117,24,1
1-Jan-04,31-Dec-04,"Howard University, Le Droit Park, Cardozo/Shaw",2004,Cluster 3,103,23,1
1-Jan-05,31-Dec-05,"Howard University, Le Droit Park, Cardozo/Shaw",2005,Cluster 3,95,25,1
1-Jan-06,31-Dec-06,"Howard University, Le Droit Park, Cardozo/Shaw",2006,Cluster 3,95,27,1
1-Jan-07,31-Dec-07,"Howard University, Le Droit Park, Cardozo/Shaw",2007,Cluster 3,94,26,1
1-Jan-08,31-Dec-08,"Howard University, Le Droit Park, Cardozo/Shaw",2008,Cluster 3,98,24,1
1-Jan-09,31-Dec-09,"Howard University, Le Droit Park, Cardozo/Shaw",2009,Cluster 3,92,21,1
1-Jan-10,31-Dec-10,"Howard University, Le Droit Park, Cardozo/Shaw",2010,Cluster 3,74,20,1
1-Jan-11,31-Dec-11,"Howard University, Le Droit Park, Cardozo/Shaw",2011,Cluster 3,80,25,1
1-Jan-12,31-Dec-12,"Howard University, Le Droit Park, Cardozo/Shaw",2012,Cluster 3,107,22,1
1-Jan-13,31-Dec-13,"Howard University, Le Droit Park, Cardozo/Shaw",2013,Cluster 3,105,22,1
1-Jan-14,31-Dec-14,"Howard University, Le Droit Park, Cardozo/Shaw",2014,Cluster 3,116,16,1
1-Jan-15,31-Dec-15,"Howard University, Le Droit Park, Cardozo/Shaw",2015,Cluster 3,112,14,1
1-Jan-16,31-Dec-16,"Howard University, Le Droit Park, Cardozo/Shaw",2016,Cluster 3,136,14,1
1-Jan-00,31-Dec-00,"Georgetown, Burleith/Hillandale",2000,Cluster 4,63,7.6,1
1-Jan-01,31-Dec-01,"Georgetown, Burleith/Hillandale",2001,Cluster 4,63,7.3,1
1-Jan-02,31-Dec-02,"Georgetown, Burleith/Hillandale",2002,Cluster 4,51,6.8,1
